PredictiveFeature,TargetFeature,SHAPValue
SON,MAVS,0.0182718025801989
FAM83B,MAVS,0.003911708108897
LRRFIP2,TOP1,0.0025229932935338
TTN,TOP1,0.0055918615161205
COBL,TOP1,0.002935471336826
XIRP1,TOP1,0.0023374112188499
BCOR,TOP1,0.0112208753438849
CALD1,TOP1,0.0126251601797116
BMI1,TOP1,0.0007589544533425
ABLIM1,TOP1,0.0072808436659511
FLNC,TOP1,0.0042003240521002
FAM83F,AGPS,0.0007867573230136
ABLIM1,AGPS,0.0155609378779934
BRD8,AGPS,0.0339266237800709
PFDN4,AGPS,0.0061247662533721
LMO7,HEXIM2,0.0067432437366271
NCOR2,HEXIM2,0.0263107564653427
SRRM2,HEXIM2,0.0047907164998814
PLEKHA6,HEXIM2,0.0387897182053155
NUMA1,HEXIM2,0.0054445526648079
PHLDB1,HEXIM2,0.0043434499740308
NES,HEXIM2,0.0029302882896597
NUP214,HEXIM2,0.0044361204428924
MAP4,HEXIM2,0.034245984018778
AHCTF1,HEXIM2,0.0103300537691274
LMNA,HEXIM2,0.0112031243164341
NCOR2,SFSWAP,0.0265699794413203
SRRM2,SFSWAP,0.0230647994638509
LARP1,SFSWAP,0.0155956342168605
ATXN2L,SFSWAP,0.0112981702332318
NUMA1,SFSWAP,0.0163501574798926
NUP214,SFSWAP,0.0114262819053523
NIPBL,SFSWAP,0.0063867032441398
RIF1,SFSWAP,0.0091656176563932
PHRF1,SFSWAP,0.0375768424548881
ASXL2,SFSWAP,0.0150201574521789
NEB,GIPC1,0.0011839180321656
NACA,GIPC1,0.0016788595516449
MAP1S,GIPC1,0.0096111407406179
PRRC2A,GIPC1,0.0006991310724755
PPIG,GIPC1,0.0032062490214301
KMT2D,GIPC1,0.064199010116777
PLEC,GIPC1,0.0086846470361983
LMO7,LDHB,0.0048139119750822
DAXX,LDHB,0.0003673035562663
SRRM2,LDHB,0.0129076745862469
PRRC2A,LDHB,0.0018057358234672
TCOF1,LDHB,0.0016841127715849
SPEN,LDHB,0.0090709848096676
ADAR,LDHB,0.001308713766695
GPATCH8,LDHB,0.0225636457030086
GPN1,LDHB,0.0010622834220616
CCDC88C,PRKRA,0.0232329471758156
EIF4G1,PRKRA,0.0112677240402179
MACF1,PRKRA,0.0177040281485036
CLASP2,PRKRA,0.0750638014864717
DENND4C,PRKRA,0.0094191675143071
DMD,PRKRA,0.0093499853947329
ATRX,PRKRA,0.0314545466707713
TNS1,PRKRA,0.023368385780349
AHNAK2,MIGA2,0.0257196948620031
SRRM2,MIGA2,0.0151273933386889
PLEC,MIGA2,0.0084370769995681
KMT2D,MIGA2,0.0290813308793004
NCOR2,MIGA2,0.0093156846963777
AHCTF1,MIGA2,0.0083101200857541
NUMA1,MIGA2,0.0073762113193255
TJP1,MIGA2,0.0045194476577721
RIF1,MIGA2,0.0067485048857429
LRRFIP2,UTP11,0.003511705595839
POLR2A,UTP11,0.0015212993791954
ABLIM1,UTP11,0.0032291109042394
SPEN,UTP11,0.0186707905112729
HUWE1,UTP11,0.0031698010634413
NACA,UTP11,0.0003869671363511
ENO1,UTP11,0.0038575293175898
SRRM2,UTP11,0.0005752063110577
NHSL3,UTP11,0.0028963696020005
TCOF1,CHD9,0.0053820416221653
AHNAK2,CHD9,0.0330612191732401
GPATCH8,CHD9,0.0044968685797226
PRRC2A,CHD9,0.0034460144439651
PCBP1,CHD9,0.0015799729324102
KMT2D,CHD9,0.0276132958463693
SRRM2,CHD9,0.001549289469448
FARP1,CHD9,0.0029683471275426
NUMA1,CHD9,0.0171791348027743
CAST,PHACTR2,0.0105401286104452
BAG3,PHACTR2,0.0185453525573837
XIRP1,PHACTR2,0.0142221128924166
MAP1S,PHACTR2,0.004367658426064
CAMSAP1,PHACTR2,0.020766229611129
USP24,PHACTR2,0.0049198275597587
ARPP19,PHACTR2,0.0018894180070791
NOLC1,PHACTR2,0.0090413431812363
LRRFIP2,PPP1R3D,0.0068831887790627
PRRC2A,PPP1R3D,0.0458736747602172
MDC1,PPP1R3D,0.0086300460701406
SRRM2,PPP1R3D,0.0148467952451905
IRS2,PPP1R3D,0.005501065475246
PLEKHA6,PPP1R3D,0.0422629793672793
FARP1,PPP1R3D,0.0070839361138467
ABLIM1,PPP1R3D,0.0082032407871705
TJP1,PPP1R3D,0.0063502016216874
RIF1,PPP1R3D,0.009051016662974
USP10,PPP1R3D,0.0045707312158492
LMO7,DSP,0.0104001748982749
KMT2D,DSP,0.0038363441152129
TCOF1,DSP,0.0042173305229705
AHNAK2,DSP,0.0061217523416274
ATXN2L,DSP,0.0070354347119036
CSRP3,DSP,0.0178167225697508
NES,DSP,0.0225894009708654
IRS2,DSP,0.0087843647787289
PLEKHA6,DSP,0.0284746038281433
RIF1,DSP,0.0091908970702807
NCOR1,REPS1,0.0094449985393672
TCOF1,REPS1,0.0145281565878047
GPATCH8,REPS1,0.0041377100969098
KMT2D,REPS1,0.0077672391035057
PLEC,REPS1,0.0018938757017079
SRRM2,REPS1,0.0241773238091098
NHSL3,REPS1,0.0125982714332549
EIF4G1,REPS1,0.0528528537094194
TP53BP1,REPS1,0.067107169248645
RASAL2,REPS1,0.0050713134656292
MDC1,WBP11,0.0149029866541069
NACA,WBP11,0.0053161873702198
PLEKHA6,WBP11,0.0451382016959065
ATXN2L,WBP11,0.0162846073747575
NCOR2,WBP11,0.0042446454167141
NHSL3,WBP11,0.0038697886731763
RIF1,WBP11,0.0060655191849179
NUP214,WBP11,0.0010112678269741
BLTP3B,NCKIPSD,0.003776880992756
WASHC2A,NCKIPSD,0.0020940652421226
NEB,NCKIPSD,0.0085186989375818
COPRS,NCKIPSD,0.0068372748218493
ITSN1,NCKIPSD,0.0012505393771836
ZNF362,NCKIPSD,0.0015908380915638
COBL,NCKIPSD,0.0027598176060182
CDK11A,PRICKLE2,0.0011539489249915
WASHC2A,PRICKLE2,0.0026347443985977
EIF4B,PRICKLE2,0.0094471996888592
USP24,PRICKLE2,0.0043062519887092
MYCT1,PRICKLE2,0.0070111570521316
XIRP1,PRICKLE2,0.0023300378626483
PRAG1,PRICKLE2,0.0151606992837049
THRAP3,PRICKLE2,0.0025888152235831
SEC16A,PRICKLE2,0.0033816887344313
BAG3,PRICKLE2,0.0136826169151571
BRD8,PRICKLE2,0.0068602758331234
SPEN,MMTAG2,0.0035865489817743
KMT2D,MMTAG2,0.0028928557991757
IRS2,MMTAG2,0.0118557916956762
SRRM2,MMTAG2,0.0384133332050367
PLEKHA6,MMTAG2,0.0346262096168774
ATXN2L,MMTAG2,0.0079390885527105
FARP1,MMTAG2,0.0027905292486507
AHCTF1,MMTAG2,0.0038173349485901
RIF1,MMTAG2,0.015575193256523
NES,MMTAG2,0.0046904014479803
EIF4B,MMTAG2,0.003761484210354
LRRFIP2,LAD1,0.0039875003589351
LMO7,LAD1,0.002186402990272
ATXN2L,LAD1,0.0053412061595143
KMT2D,LAD1,0.0142829991444755
SPEN,LAD1,0.0030331425707726
PLEC,LAD1,0.0063318678092827
CDK1,LAD1,0.0105994233053003
NEB,LAD1,0.004312960946563
SGO2,LAD1,0.0041915052494955
NUMA1,LAD1,0.0144380635759604
PHKA1,PLIN3,0.0040428735747305
NEB,PLIN3,0.0095009921463772
NACA,PLIN3,0.0061332026465959
PPIG,PLIN3,0.0039676535007921
S100A16,PLIN3,0.0012627661377091
PEAR1,PLIN3,0.0049006819997108
LMO7,SPATS2L,0.0094378084656165
TCOF1,SPATS2L,0.0044675849608194
AHNAK2,SPATS2L,0.0132317891396639
SRRM2,SPATS2L,0.0141128931830997
PLEKHA6,SPATS2L,0.0003221320190112
ARPP19,SPATS2L,0.001717025079931
KMT2D,SPATS2L,0.0250792563070468
PLEC,SPATS2L,0.0138349506585768
MAP1S,SPATS2L,0.016407932314296
BAG3,SPATS2L,0.0074696778332068
MYPN,TLK2,0.0055122015051484
ARPP21,TLK2,0.0016945031634656
CAST,TLK2,0.0163900987726824
FAM83B,TLK2,0.0008522587116302
HRC,TLK2,0.0005403801318657
MAP1S,TLK2,0.0337620256818989
DNMBP,TLK2,0.0005493645179902
HUWE1,ZNF608,0.0031446175776189
EIF4B,ZNF608,0.0139752516393354
LMO7,ZNF608,0.0012705813003266
NCOR1,ZNF608,0.007291189132424
MAP1S,ZNF608,0.0415868124819569
BAG3,ZNF608,0.0016493850351457
ABLIM1,ZNF608,0.0068536749922034
MYPN,ZNF608,0.0044546723555366
AHNAK2,ZNF608,0.0253798073919014
SASH1,ZNF608,0.0011555124764516
PRRC2A,EIF3CL,0.0026794598813277
LMO7,EIF3CL,0.0254612023906837
COPS3,EIF3CL,0.0116650837463258
MDC1,EIF3CL,0.0020903193322554
MAP1S,EIF3CL,0.0011205274622911
AHNAK2,EIF3CL,0.0014184562251894
PLEKHA6,EIF3CL,0.001311058287274
KMT2D,EIF3CL,0.0053436054770758
GPATCH8,EIF3CL,0.0098175765797626
TCOF1,PIMREG,0.0330430138825044
ADAR,PIMREG,0.00350057927472
KMT2D,PIMREG,0.0080396019054652
MDC1,PIMREG,0.0044042804813275
ATXN2L,PIMREG,0.0115151611914873
NHSL3,PIMREG,0.0036931977674933
PRRC2C,PIMREG,0.0029669184640977
CLASP1,PIMREG,0.0069453746395006
NELFE,PIMREG,0.0211484340041241
NEB,BCORL1,0.0104903986333074
TTN,BCORL1,0.0034685265524565
LMO7,DYNC1I2,0.001445202068233
TCOF1,DYNC1I2,0.0075486398052806
ADAR,DYNC1I2,0.0031450921600026
AHNAK2,DYNC1I2,0.0166421613339136
SRRM2,DYNC1I2,0.0205583722175366
KMT2D,DYNC1I2,0.0032783042769061
FARP1,DYNC1I2,0.0043419921577655
WASHC2A,DYNC1I2,0.0029461746428884
PRRC2C,DYNC1I2,0.0010051952391049
PLEC,DYNC1I2,0.0070326349455689
MAP1S,DYNC1I2,0.012205975011823
AHNAK2,KIF11,0.0096078529233645
KMT2D,KIF11,0.0169759062240129
FARP1,KIF11,0.0079114945482424
SRRM2,KIF11,0.0104726825607952
PLEKHA6,KIF11,0.0453403488224191
IRS2,KIF11,0.0101844098256398
ATXN2L,KIF11,0.0005767898138557
AHCTF1,KIF11,0.0135409324866945
CCDC18,SLC39A7,0.0048353896439417
NUMA1,SLC39A7,0.0161145059244915
ASPM,SLC39A7,0.0045006925671249
TCOF1,SLC39A7,0.0152817915314336
RIF1,SLC39A7,0.0090519945546467
DLG5,SLC39A7,0.0045464228698337
CLASP1,SLC39A7,0.0058050698589226
IRS2,SLC39A7,0.0362419808552303
SRRM2,SLC39A7,0.0476516524029447
MAP4,SLC39A7,0.01012186072691
CAMK2B,SGTB,0.0013054651822118
TTN,SGTB,0.0003014696578967
LRRFIP2,SGTB,0.0004229770258871
CALD1,SGTB,0.0053824114895902
CKM,SGTB,0.0062480005589584
NCOR1,SGTB,0.0086826660904626
BRD8,SGTB,0.0009730216526181
HUWE1,SGTB,0.0079492197005279
YWHAG,SGTB,0.0028531522014998
EIF4B,SGTB,0.001161733125402
PPIG,SGTB,0.0097046617952526
WASHC2A,AMOTL1,0.0020453581475598
GPATCH8,AMOTL1,0.0032544261128801
AHNAK2,AMOTL1,0.0153714178443682
MAP1S,AMOTL1,0.0034955928529833
ABLIM1,AMOTL1,0.0053735457344305
NCL,AMOTL1,0.0133362618911377
BRD8,AMOTL1,0.0353259093170586
CBX3,AMOTL1,0.0109972233281999
AHNAK2,SMG6,0.0107623094805228
KMT2D,SMG6,0.0061619837641212
BAG3,SMG6,0.0071635857321174
SRRM2,SMG6,0.0117359900967823
MAP1S,SMG6,0.005753324805163
PLEKHA6,SMG6,0.0293715019190979
PPIG,SMG6,0.008254934498425
ABLIM1,SMG6,0.0077165865093535
NUMA1,SMG6,0.0052921092834647
IRS2,SMG6,0.0079967030314195
NCOR1,LATS2,0.0019086909935739
SPEN,LATS2,0.0196235857705359
FARP1,LATS2,0.0014036746758908
KMT2D,LATS2,0.0187844912593616
PLEKHA6,LATS2,0.0247244647587014
ABLIM1,LATS2,0.0064720664677525
PPIG,LATS2,0.0155486660770183
NIPBL,LATS2,0.0067306162053627
EIF4B,LATS2,0.0016006042067608
NCOR1,FAM53C,0.0040806592539343
AHCTF1,FAM53C,0.004143510920877
SPEN,FAM53C,0.0151452452673469
HUWE1,FAM53C,0.0027694263907325
NCOR2,FAM53C,0.0021179935027044
KMT2D,FAM53C,0.0014847102019315
IRS2,FAM53C,0.036135399881552
PRRC2A,FAM53C,0.0098066391349365
ARID1B,FAM53C,0.003360082628289
LARP1,FAM53C,0.0123612641588051
COBL,XPO1,0.002598642116775
XIRP1,XPO1,0.0043533600924801
NACA,XPO1,0.0008208657478042
EIF4B,XPO1,0.007444456889531
WASHC2A,XPO1,0.0007935802116226
CALD1,XPO1,0.0029121200570877
PPIG,XPO1,0.0015191643957789
CAST,XPO1,0.0313687736547703
