Feature,TargetFeature,SHAPValue,LogSHAPValue
MAP1S,LCOR,0.0139911610252642,-4.269329504093859
PLEKHA6,LCOR,0.000564349719477,-7.479836428635501
SRRM2,PPAN,0.003170266075979,-5.753939758975283
TP53BP1,PPAN,0.0166320109949955,-4.096426067351878
ATXN2L,PPAN,0.0080827173657432,-4.818027155346387
GPATCH8,PPAN,0.0216847150818422,-3.8311476407323717
PHLDB1,PPAN,0.0189466219239535,-3.966129625932571
AFDN,PPAN,0.0815939239203605,-2.506000481544778
EIF4G1,PPAN,0.0053628749044224,-5.228255084925148
NHSL3,PPAN,0.0069910215152066,-4.963128593899222
RIF1,PPAN,0.0232391216462191,-3.7619181426257917
TTN,TLK1,0.0058794099671071,-5.136298867836656
SPEG,TLK1,0.0039616287068001,-5.531100048676145
XIRP1,TLK1,0.0018932233565804,-6.269474422917431
NACA,TLK1,0.0013990616470578,-6.571953519181854
ZBED6,TLK1,0.0005650633652906,-7.478572682149467
CSRP3,TLK1,0.002723722348651,-5.9057558236978664
CAST,TLK1,0.0328455353380822,-3.4159394538488583
EIF4B,TLK1,0.0042429856105584,-5.462488104104396
BRD8,CHD4,0.0325217685284744,-3.425845612986802
SPTB,CHD4,0.0009106340458217,-7.001369447423292
ABLIM1,CHD4,0.0182499836948726,-4.003591092385674
NACA,CHD4,0.0018508442782927,-6.292113377350787
SORBS1,CHD4,0.0022991269194439,-6.075225828355226
CAST,CHD4,0.0100145380199929,-4.603717439735821
PPIG,CHD4,0.001202525835423,-6.723331071455901
CEP170B,CHD4,0.0094427552844396,-4.6625074680598155
SPEG,CHD4,0.0027125786740231,-5.909855556288027
LMO7,FRA10AC1,0.0020509169466814,-6.189468294772551
CSRP3,FRA10AC1,0.0042410408973465,-5.4629465452099595
SPEN,FRA10AC1,0.002736543357478,-5.901059703369878
AHNAK2,FRA10AC1,0.009126135402016,-4.696612959635864
MDC1,FRA10AC1,0.0015361035526853,-6.478506229416262
SRRM2,FRA10AC1,0.0095942301629335,-4.646593385890517
