Feature,TargetFeature,FisherScore,MedianCoeff,MeanR2,MeanMSE,Coeff*R2
TMEM63A,MEF2C,54.25895195192775,-0.0018801562702404,0.5328176334276218,0.0176265985914273,-0.0010017804143836
ANK2,MET,25.130201829432472,0.1669705845281179,0.35529450062102,0.0169524787854144,0.0593237304483174
BCLAF1,MET,5.933709104177047,-0.2670775052872449,0.35529450062102,0.0169524787854144,-0.0948911688681395
BIN2,MET,5.675993864161028,-0.1403791822264807,0.35529450062102,0.0169524787854144,-0.0498759514467446
BRD8,MET,5.942332675686748,0.338433072853422,0.35529450062102,0.0169524787854144,0.1202434096130938
CMYA5,MET,8.614515726511799,-0.1516711237306283,0.35529450062102,0.0169524787854144,-0.0538879161645025
ESAM,MET,8.572254984550018,-0.0506816062576098,0.35529450062102,0.0169524787854144,-0.0180068959859686
GOT2,MET,9.064322655855722,0.0591196230799603,0.35529450062102,0.0169524787854144,0.0210048769590974
HUWE1,MET,6.397968492403353,-0.0792129550824462,0.35529450062102,0.0169524787854144,-0.028143927318733
MYBPC2,MET,6.121890171028516,0.1145631241720387,0.35529450062102,0.0169524787854144,0.0407036479922884
NEB,MET,8.039706476433954,0.0689238263321047,0.35529450062102,0.0169524787854144,0.024488256457555
PEAR1,MET,7.896839309383103,0.0584633154795406,0.35529450062102,0.0169524787854144,0.0207716944779525
RALBP1,MET,8.935366056244012,-0.0989572599292436,0.35529450062102,0.0169524787854144,-0.0351589702493851
RALGAPA1,MET,5.55178033947486,0.2067375761457828,0.35529450062102,0.0169524787854144,0.073452723876316
TTN,MET,44.61962862072925,-0.2390114484528596,0.35529450062102,0.0169524787854144,-0.0849194532207654
TTN,MET,6.433963418823374,0.1751257990818043,0.35529450062102,0.0169524787854144,0.0622212333306267
ACTN2,MITF,6.887515780010863,0.1706717337105499,0.4511385588291505,0.0198020612507611,0.07699659997905
ATXN2,MITF,6.905304185896667,0.4120039448136454,0.4511385588291505,0.0198020612507611,0.1858708658951528
CAMK2B,MITF,17.309515399757768,-0.1527855544845076,0.4511385588291505,0.0198020612507611,-0.0689274548600534
CDK11A,MITF,6.281502023937066,0.0025013147031861,0.4511385588291505,0.0198020612507611,0.0011284395103735
CKMT2,MITF,9.60196734338197,-0.0287079480508695,0.4511385588291505,0.0198020612507611,-0.0129512623106114
CYBA,MITF,5.197445087542096,0.0448825489202091,0.4511385588291505,0.0198020612507611,0.0202482484364419
HUWE1,MITF,6.290314233945408,0.1002494179258166,0.4511385588291505,0.0198020612507611,0.0452263779265141
MDH1,MITF,5.419054615270433,-0.1102561943809588,0.4511385588291505,0.0198020612507611,-0.0497408206350124
MKI67,MITF,6.651530028702738,0.141242714774248,0.4511385588291505,0.0198020612507611,0.063720034788371
MLIP,MITF,9.036041126902791,-0.5109696941995813,0.4511385588291505,0.0198020612507611,-0.2305181314465708
MYBPC1,MITF,6.482560512735336,0.1477312951573493,0.4511385588291505,0.0198020612507611,0.0666472835912504
MYCT1,MITF,15.656728200001035,-0.236949351043905,0.4511385588291505,0.0198020612507611,-0.1068969887454497
MYH3,MITF,10.362844682274082,-0.0576182280949688,0.4511385588291505,0.0198020612507611,-0.0259938043850534
NCOR1,MITF,5.729912201829805,-0.1805605536758452,0.4511385588291505,0.0198020612507611,-0.0814578279667143
PLN,MITF,7.004817536524023,0.0442896075935096,0.4511385588291505,0.0198020612507611,0.0199807497408445
PPP1R12B,MITF,5.624042362833609,0.0996941124938168,0.4511385588291505,0.0198020612507611,0.0449758582342117
TMEM38A,MITF,6.714878730995589,-0.0031817126154998,0.4511385588291505,0.0198020612507611,-0.0014353932439651
TTN,MITF,13.987636725232257,0.5527622027199857,0.4511385588291505,0.0198020612507611,0.249372343510321
XIRP1,MITF,6.93212216836375,0.3881136649933671,0.4511385588291505,0.0198020612507611,0.1750930394870073
BRAF,MKI67,64.53848064830379,-0.063995313224773,0.1137462959046164,0.0319306217215794,-0.0072792298345736
