PredictiveFeature,TargetFeature,FisherScore,MedianCoeff,MeanR2,MeanMSE,Coeff*R2
GAB1,GPATCH8,2.3545410698107183,-0.0265043302603708,0.8186471869909402,0.0133189881162257,-0.0216976954107314
GAB1,H1,1.6905495936950663,-0.0208508343704918,0.4806409350874362,0.0237332705147503,-0.0100217645291864
GAB1,HIRIP3,2.195834216143819,0.0057426037365204,0.4778300215382984,0.0267151139523233,0.0027439884671074
GAB1,HNRNPC,4.671769437650999,-0.0661838745259142,0.6192705571604599,0.0168351364663945,-0.0409857248527009
GAB1,HNRNPD,4.460573282414569,-0.0150285485607208,0.6365882611004502,0.0135316275924805,-0.0095669975951329
GAB1,HNRNPUL2,3.81999499884877,-0.0498144340268962,0.5766841639632638,0.035329622578353,-0.0287271952401038
GAB1,HNRNPU,1.8120911175936945,0.1554498205856255,0.7320046736846043,0.0188884941465419,0.113789995192111
GAB1,HTATSF1,2.71498807837818,-0.0821933955635419,0.5002723074729765,0.0304351285644472,-0.0411190796576122
GAB1,HTT,1.901533213887137,-0.0230034927428154,0.6184503204216238,0.0263533192921271,-0.0142265174576107
GAB1,HUWE1,1.8762510486503925,0.0600723552819575,0.7724711454619306,0.0161376012703975,0.0464041610952497
GAB1,IGF2R,1.5856654582194487,0.212238739844078,0.7626045431917163,0.0163250265090428,0.1618542272463786
GAB1,IL17RA,20.492616629439105,0.04439559246768,0.6857655967091574,0.0076834698928867,0.0304449699598551
GAB1,IRF2BP1,1.8772549502203573,0.0589116560088249,0.5067182365074309,0.0297859992149736,0.0298516104425241
GAB1,IRF2BP2,3.418254223490285,0.3418135480445259,0.6292544213787435,0.0306743394609747,0.2150876863941735
GAB1,IRF2BPL,1.7412332091090628,0.0344710952523675,0.5561514099886107,0.0232102002496547,0.0191711482284559
ABLIM1,IRS1,3.0264344130074288,0.0370440790671043,0.5140606195831684,0.0299562292164681,0.0190429022371235
AHCTF1,IRS1,3.095312106401964,0.104764418466009,0.5140606195831684,0.0299562292164681,0.0538552618669069
AHNAK2,IRS1,4.264719090346934,0.274027613414591,0.5140606195831684,0.0299562292164681,0.1408668047348016
ANKRD17,IRS1,1.4677254014972112,0.1343467885909358,0.5140606195831684,0.0299562292164681,0.0690623933820654
ARHGAP11A,IRS1,1.5829158659911382,0.0135809229377716,0.5140606195831684,0.0299562292164681,0.0069814176599021
ARHGEF2,IRS1,1.4384808076687248,0.0596571841173244,0.5140606195831684,0.0299562292164681,0.0306674090299389
ARPP19,IRS1,1.9757786639788784,-0.0373733971673587,0.5140606195831684,0.0299562292164681,-0.0192121917037802
ASXL2,IRS1,2.0107954858934263,-0.121420684453407,0.5140606195831684,0.0299562292164681,-0.0624175922803308
ATG9A,IRS1,1.4450894290521208,0.0097349501967018,0.5140606195831684,0.0299562292164681,0.0050043545297278
ATXN2L,IRS1,2.9955832431047247,-0.0978093432074824,0.5140606195831684,0.0299562292164681,-0.0502799315702611
BAG3,IRS1,3.027397788719897,-0.0352537196358853,0.5140606195831684,0.0299562292164681,-0.0181225489586345
BRD8,IRS1,2.221751362799536,-0.2593041042308071,0.5140606195831684,0.0299562292164681,-0.1332980284813471
CALD1,IRS1,2.2891663030759264,-0.0200883375830012,0.5140606195831684,0.0299562292164681,-0.0103266232643134
CDC42BPA,IRS1,2.488296219494081,0.2687815655043291,0.5140606195831684,0.0299562292164681,0.1381700180956894
